asset_type,asset_sub_type,day,tax_rate,base_rate_modifier
Real Estate,Residential,1,0.011,0.0055
Real Estate,Commercial,1,0.0105,0.0049
Real Estate,Industrial,1,0.0084,0.0042
Real Estate,Residential,25,0.012,0.006
Real Estate,Commercial,25,0.0112,0.00525
Real Estate,Industrial,25,0.0091,0.00455
Real Estate,Residential,50,0.013,0.0065
Real Estate,Commercial,50,0.0119,0.0056
Real Estate,Industrial,50,0.0098,0.0049
Real Estate,Residential,75,0.014,0.007
Real Estate,Commercial,75,0.0126,0.00595
Real Estate,Industrial,75,0.0105,0.00525
