day,inflation_index,interest_rate_index
1,100.21,2.53
2,100.42,2.55
3,100.62,2.58
4,100.82,2.61
5,101.0,2.63
6,101.18,2.66
7,101.35,2.68
8,101.5,2.71
9,101.64,2.73
10,101.77,2.75
11,101.89,2.77
12,102.0,2.79
13,102.1,2.81
14,102.2,2.83
15,102.29,2.84
16,102.38,2.86
17,102.47,2.87
18,102.57,2.89
19,102.67,2.9
20,102.77,2.91
21,102.89,2.93
22,103.01,2.94
23,103.15,2.95
24,103.3,2.97
25,103.46,2.98
26,103.63,2.99
27,103.82,3.01
28,104.01,3.02
29,104.21,3.04
30,104.42,3.02
31,104.63,3.0
32,104.83,3.0
33,105.04,3.01
34,105.25,3.04
35,105.45,3.08
36,105.64,3.14
37,105.82,3.21
38,105.99,3.28
39,106.15,3.34
40,106.3,3.4
41,106.43,3.45
42,106.56,3.49
43,106.67,3.51
44,106.78,3.51
45,106.87,3.5
46,106.97,3.47
47,107.06,3.45
48,107.15,3.42
49,107.24,3.39
50,107.34,3.38
51,107.44,3.38
52,107.55,3.39
53,107.67,3.42
54,107.81,3.47
55,107.95,3.53
56,108.11,3.59
57,108.27,3.66
58,108.45,3.73
59,108.64,3.79
60,108.84,3.84
61,109.04,3.87
62,109.25,3.89
63,109.46,3.89
64,109.67,3.87
65,109.88,3.85
66,110.08,3.82
67,110.27,3.79
68,110.46,3.77
69,110.63,3.75
70,110.8,3.75
71,110.95,3.89
72,111.09,3.9
73,111.22,3.92
74,111.34,3.93
75,111.45,3.95
76,111.55,3.97
77,111.64,3.99
78,111.73,4.01
79,111.82,4.03
80,111.91,4.05
81,112.01,4.08
82,112.11,4.1
83,112.22,4.13
84,112.33,4.15
85,112.46,4.18
86,112.6,4.21
87,112.75,4.23
88,112.92,4.26
89,113.09,4.29
90,113.27,4.31
91,113.47,4.34
92,113.67,4.37
93,113.88,4.39
94,114.09,4.42
95,114.29,4.44
96,114.5,4.47
97,114.71,4.49
98,114.9,4.51
99,115.09,4.53
100,115.27,4.55
