asset_id,day,valuation
asset_1,1,245679.16
asset_1,2,245875.62
asset_1,3,246124.66
asset_1,4,247121.9
asset_1,5,246546.19
asset_1,6,244866.45
asset_1,7,247712.8
asset_1,8,246962.0
asset_1,9,247261.05
asset_1,10,248163.06
asset_1,11,248677.34
asset_1,12,251076.7
asset_1,13,250213.2
asset_1,14,249172.88
asset_1,15,247343.22
asset_1,16,246906.88
asset_1,17,250241.63
asset_1,18,253021.57
asset_1,19,250229.67
asset_1,20,250141.06
asset_1,21,251750.64
asset_1,22,247984.6
asset_1,23,250543.17
asset_1,24,252173.3
asset_1,25,252888.81
asset_1,26,251546.7
asset_1,27,252491.75
asset_1,28,252546.24
asset_1,29,253047.05
asset_1,30,252447.44
asset_1,31,253136.54
asset_1,32,253541.02
asset_1,33,254583.96
asset_1,34,254195.63
asset_1,35,254848.99
asset_1,36,253354.32
asset_1,37,253687.42
asset_1,38,256627.78
asset_1,39,253611.73
asset_1,40,257149.57
asset_1,41,255706.46
asset_1,42,256407.48
asset_1,43,255766.85
asset_1,44,254357.39
asset_1,45,254983.21
asset_1,46,255907.13
asset_1,47,255410.74
asset_1,48,256081.47
asset_1,49,259009.03
asset_1,50,259431.04
asset_1,51,259055.96
asset_1,52,257150.55
asset_1,53,258989.83
asset_1,54,254293.64
asset_1,55,260388.71
asset_1,56,260918.04
asset_1,57,258421.94
asset_1,58,258084.65
asset_1,59,259487.57
asset_1,60,259623.87
asset_1,61,259804.82
asset_1,62,260707.26
asset_1,63,260874.82
asset_1,64,261026.79
asset_1,65,261927.66
asset_1,66,260565.92
asset_1,67,261948.75
asset_1,68,262468.04
asset_1,69,261958.25
asset_1,70,263818.83
asset_1,71,263936.54
asset_1,72,267665.36
asset_1,73,264682.46
asset_1,74,262289.33
asset_1,75,262585.64
asset_1,76,262148.85
asset_1,77,266679.99
asset_1,78,263226.21
asset_1,79,264688.77
asset_1,80,266926.25
asset_1,81,263629.58
asset_1,82,264919.34
asset_1,83,261765.3
asset_1,84,263817.6
asset_1,85,265221.08
asset_1,86,267328.83
asset_1,87,268767.07
asset_1,88,267043.76
asset_1,89,267637.18
asset_1,90,267731.13
asset_1,91,268656.34
asset_1,92,268540.93
asset_1,93,268381.23
asset_1,94,268481.6
asset_1,95,268621.91
asset_1,96,268870.97
asset_1,97,268461.01
asset_1,98,269551.87
asset_1,99,267576.89
asset_1,100,270495.14
asset_2,1,252764.37
asset_2,2,250420.5
asset_2,3,247590.24
asset_2,4,243393.83
asset_2,5,248225.12
asset_2,6,258856.76
asset_2,7,254629.5
asset_2,8,253457.0
asset_2,9,230577.02
asset_2,10,252538.65
asset_2,11,250755.73
asset_2,12,244281.59
asset_2,13,244342.04
asset_2,14,246467.67
asset_2,15,248003.28
asset_2,16,246335.04
asset_2,17,246393.19
asset_2,18,240738.19
asset_2,19,247022.35
asset_2,20,246741.72
asset_2,21,243726.84
asset_2,22,252950.29
asset_2,23,242122.42
asset_2,24,252527.37
asset_2,25,236780.72
asset_2,26,242842.49
asset_2,27,229292.38
asset_2,28,240928.7
asset_2,29,237189.36
asset_2,30,244398.96
asset_2,31,241435.84
asset_2,32,241341.94
asset_2,33,244848.03
asset_2,34,234210.76
asset_2,35,245050.78
asset_2,36,243385.09
asset_2,37,249919.49
asset_2,38,244439.42
asset_2,39,239343.98
asset_2,40,234770.78
asset_2,41,229520.66
asset_2,42,239306.47
asset_2,43,236690.9
asset_2,44,246335.78
asset_2,45,235254.23
asset_2,46,237384.25
asset_2,47,236254.02
asset_2,48,236764.01
asset_2,49,235224.97
asset_2,50,232272.8
asset_2,51,227721.08
asset_2,52,235317.11
asset_2,53,242494.87
asset_2,54,231062.97
asset_2,55,230251.8
asset_2,56,230218.42
asset_2,57,238379.83
asset_2,58,226223.8
asset_2,59,232478.06
asset_2,60,229811.66
asset_2,61,228902.4
asset_2,62,231275.23
asset_2,63,231805.66
asset_2,64,235180.58
asset_2,65,231901.64
asset_2,66,229512.9
asset_2,67,231153.36
asset_2,68,239809.82
asset_2,69,230770.8
asset_2,70,233496.78
asset_2,71,238301.45
asset_2,72,225301.29
asset_2,73,217106.35
asset_2,74,230199.18
asset_2,75,229246.87
asset_2,76,225598.44
asset_2,77,229507.45
asset_2,78,227713.24
asset_2,79,227607.79
asset_2,80,225497.2
asset_2,81,227015.15
asset_2,82,233134.51
asset_2,83,223065.37
asset_2,84,225717.76
asset_2,85,230503.7
asset_2,86,220893.66
asset_2,87,220869.7
asset_2,88,228333.87
asset_2,89,221300.81
asset_2,90,217878.1
asset_2,91,226551.89
asset_2,92,221764.56
asset_2,93,222703.44
asset_2,94,221563.56
asset_2,95,220007.8
asset_2,96,223601.25
asset_2,97,220300.58
asset_2,98,220690.56
asset_2,99,232539.97
asset_2,100,220543.94
asset_3,1,270204.18
asset_3,2,269580.39
asset_3,3,270311.57
asset_3,4,269733.12
asset_3,5,269571.52
asset_3,6,270774.09
asset_3,7,270404.18
asset_3,8,271501.38
asset_3,9,266883.61
asset_3,10,276080.29
asset_3,11,271355.67
asset_3,12,276348.16
asset_3,13,269573.46
asset_3,14,273179.71
asset_3,15,281123.19
asset_3,16,270492.21
asset_3,17,269055.1
asset_3,18,271831.44
asset_3,19,274685.13
asset_3,20,275394.53
asset_3,21,276912.26
asset_3,22,273567.43
asset_3,23,271124.06
asset_3,24,273766.63
asset_3,25,276773.21
asset_3,26,275635.89
asset_3,27,272951.71
asset_3,28,275388.62
asset_3,29,276536.88
asset_3,30,276659.69
asset_3,31,276129.69
asset_3,32,276233.64
asset_3,33,277024.81
asset_3,34,277293.78
asset_3,35,276884.47
asset_3,36,276544.46
asset_3,37,276531.73
asset_3,38,278363.55
asset_3,39,279925.1
asset_3,40,279592.03
asset_3,41,280772.21
asset_3,42,276926.71
asset_3,43,284359.64
asset_3,44,279722.74
asset_3,45,277899.22
asset_3,46,275225.18
asset_3,47,279322.86
asset_3,48,277043.45
asset_3,49,281001.93
asset_3,50,282084.39
asset_3,51,282058.9
asset_3,52,276957.55
asset_3,53,278578.91
asset_3,54,280008.85
asset_3,55,274909.39
asset_3,56,281509.49
asset_3,57,280749.73
asset_3,58,281500.54
asset_3,59,282324.5
asset_3,60,280573.13
asset_3,61,281792.72
asset_3,62,283060.79
asset_3,63,282944.94
asset_3,64,283313.05
asset_3,65,283847.93
asset_3,66,282477.9
asset_3,67,281365.15
asset_3,68,281503.09
asset_3,69,284145.3
asset_3,70,284288.96
asset_3,71,285365.05
asset_3,72,283257.05
asset_3,73,282313.47
asset_3,74,280435.87
asset_3,75,286380.96
asset_3,76,286729.56
asset_3,77,288623.51
asset_3,78,288322.88
asset_3,79,285897.98
asset_3,80,290222.74
asset_3,81,286485.92
asset_3,82,285383.03
asset_3,83,286008.06
asset_3,84,286142.4
asset_3,85,283045.72
asset_3,86,288229.03
asset_3,87,288581.55
asset_3,88,287779.96
asset_3,89,287602.83
asset_3,90,289194.56
asset_3,91,290473.13
asset_3,92,289235.78
asset_3,93,289258.13
asset_3,94,289604.35
asset_3,95,289873.46
asset_3,96,290668.79
asset_3,97,290382.06
asset_3,98,290445.46
asset_3,99,288447.74
asset_3,100,289554.2
asset_4,1,228748.5
asset_4,2,228463.49
asset_4,3,229512.52
asset_4,4,228321.86
asset_4,5,229949.79
asset_4,6,230421.96
asset_4,7,229029.31
asset_4,8,233703.65
asset_4,9,231718.36
asset_4,10,227323.55
asset_4,11,232376.32
asset_4,12,230658.96
asset_4,13,231802.55
asset_4,14,233121.0
asset_4,15,233236.42
asset_4,16,227969.03
asset_4,17,230273.37
asset_4,18,234886.27
asset_4,19,236253.22
asset_4,20,237666.48
asset_4,21,237543.19
asset_4,22,230471.42
asset_4,23,235848.05
asset_4,24,231858.0
asset_4,25,237290.26
asset_4,26,235658.14
asset_4,27,234520.79
asset_4,28,237444.55
asset_4,29,236533.36
asset_4,30,235846.48
asset_4,31,236757.34
asset_4,32,237100.79
asset_4,33,237237.19
