asset_id,day,valuation
asset_1,1,270094.56
asset_1,2,269616.76
asset_1,3,269305.84
asset_1,4,271185.56
asset_1,5,270828.71
asset_1,6,266762.61
asset_1,7,267638.44
asset_1,8,266912.24
asset_1,9,266322.47
asset_1,10,266609.79
asset_1,11,267207.79
asset_1,12,286328.0
asset_1,13,288185.23
asset_1,14,288480.64
asset_1,15,286327.65
asset_1,16,283399.48
asset_1,17,284074.95
asset_1,18,287776.67
asset_1,19,287873.53
asset_1,20,287561.69
asset_1,21,289085.13
asset_1,22,284877.36
asset_1,23,283982.06
asset_1,24,285368.92
asset_1,25,247903.99
asset_1,26,247302.5
asset_1,27,248228.89
asset_1,28,248840.07
asset_1,29,250781.83
asset_1,30,247975.03
asset_1,31,249369.27
asset_1,32,245577.56
asset_1,33,239128.82
asset_1,34,237663.23
asset_1,35,235472.42
asset_1,36,237521.06
asset_1,37,239084.58
asset_1,38,236155.62
asset_1,39,238142.54
asset_1,40,235755.87
asset_1,41,235552.54
asset_1,42,234860.25
asset_1,43,235128.98
asset_1,44,237053.83
asset_1,45,238567.22
asset_1,46,239401.93
asset_1,47,240957.92
asset_1,48,242110.88
asset_1,49,240592.88
asset_1,50,238857.31
asset_1,51,237725.21
asset_1,52,238902.72
asset_1,53,238295.63
asset_1,54,243852.1
asset_1,55,241844.48
asset_1,56,239177.24
asset_1,57,257748.1
asset_1,58,261402.58
asset_1,59,262714.02
asset_1,60,264883.55
asset_1,61,268635.22
asset_1,62,268355.76
asset_1,63,264510.34
asset_1,64,263076.49
asset_1,65,265557.03
asset_1,66,261696.68
asset_1,67,261758.26
asset_1,68,262394.95
asset_1,69,261540.62
asset_1,70,263417.52
asset_1,71,264931.59
asset_1,72,271065.84
asset_1,73,272730.09
asset_1,74,271051.7
asset_1,75,239696.99
asset_1,76,237689.33
asset_1,77,239938.52
asset_1,78,238564.08
asset_1,79,238382.15
asset_1,80,240163.58
asset_1,81,238421.28
asset_1,82,237716.37
asset_1,83,233334.58
asset_1,84,230804.12
asset_1,85,229489.14
asset_1,86,230438.68
asset_1,87,233184.34
asset_1,88,233136.61
asset_1,89,233741.29
asset_1,90,234133.9
asset_1,91,236673.65
asset_1,92,238787.98
asset_1,93,239441.53
asset_1,94,237020.91
asset_1,95,239157.38
asset_1,96,240063.9
asset_1,97,243004.54
asset_1,98,242927.01
asset_1,99,247666.76
asset_1,100,246777.94
asset_2,1,224057.34
asset_2,2,224315.27
asset_2,3,223157.2
asset_2,4,220638.99
asset_2,5,220305.76
asset_2,6,223441.41
asset_2,7,225265.53
asset_2,8,226817.35
asset_2,9,221428.46
asset_2,10,223002.74
asset_2,11,224242.3
asset_2,12,231081.86
asset_2,13,229632.09
asset_2,14,229626.78
asset_2,15,233587.56
asset_2,16,231122.97
asset_2,17,230134.22
asset_2,18,233268.15
asset_2,19,232227.42
asset_2,20,231381.53
asset_2,21,231607.77
asset_2,22,228732.85
asset_2,23,229235.93
asset_2,24,226463.06
asset_2,25,209444.81
asset_2,26,209451.47
asset_2,27,214234.15
asset_2,28,214835.8
asset_2,29,217769.79
asset_2,30,214931.68
asset_2,31,214669.16
asset_2,32,215362.86
asset_2,33,238505.15
asset_2,34,234496.08
asset_2,35,236819.04
asset_2,36,238219.48
asset_2,37,241872.69
asset_2,38,243595.75
asset_2,39,243722.6
asset_2,40,242451.22
asset_2,41,239424.99
asset_2,42,239892.88
asset_2,43,239433.02
asset_2,44,233495.72
asset_2,45,232069.0
asset_2,46,232812.53
asset_2,47,229159.7
asset_2,48,228253.46
asset_2,49,228849.54
asset_2,50,230735.16
asset_2,51,234076.44
asset_2,52,233973.1
asset_2,53,231359.05
asset_2,54,232418.33
asset_2,55,233619.9
asset_2,56,234768.51
asset_2,57,242984.74
asset_2,58,245738.69
asset_2,59,245954.68
asset_2,60,247675.93
asset_2,61,250831.51
asset_2,62,252359.75
asset_2,63,253082.8
asset_2,64,258531.16
asset_2,65,259161.21
asset_2,66,285606.11
asset_2,67,285925.89
asset_2,68,290165.51
asset_2,69,290509.98
asset_2,70,292018.82
asset_2,71,295510.58
asset_2,72,293995.03
asset_2,73,288919.0
asset_2,74,289784.09
asset_2,75,271324.08
asset_2,76,269674.4
asset_2,77,272023.5
asset_2,78,273676.22
asset_2,79,270953.16
asset_2,80,272357.29
asset_2,81,271823.19
asset_2,82,267791.98
asset_2,83,269004.94
asset_2,84,268883.31
asset_2,85,257199.57
asset_2,86,258544.59
asset_2,87,259806.53
asset_2,88,258306.05
asset_2,89,259340.18
asset_2,90,261972.65
asset_2,91,260105.66
asset_2,92,261096.38
asset_2,93,261103.57
asset_2,94,267020.21
asset_2,95,262047.48
asset_2,96,263869.46
asset_2,97,263061.37
asset_2,98,262797.79
asset_2,99,267795.12
asset_2,100,267772.16
asset_3,1,296031.36
asset_3,2,294710.63
asset_3,3,295731.83
asset_3,4,294268.41
asset_3,5,292224.17
asset_3,6,292395.07
asset_3,7,291557.15
asset_3,8,292135.86
asset_3,9,285974.64
asset_3,10,291678.31
asset_3,11,291167.88
asset_3,12,313689.44
asset_3,13,310505.14
asset_3,14,311388.64
asset_3,15,321219.0
asset_3,16,318399.56
asset_3,17,313613.06
asset_3,18,311874.05
asset_3,19,313322.67
asset_3,20,315488.79
asset_3,21,319553.45
asset_3,22,318725.76
asset_3,23,313612.6
asset_3,24,312242.02
asset_3,25,272394.39
asset_3,26,273657.38
asset_3,27,268296.6
asset_3,28,268197.19
asset_3,29,271941.68
asset_3,30,277708.33
asset_3,31,279251.52
asset_3,32,280098.5
asset_3,33,276607.89
asset_3,34,274258.82
asset_3,35,274371.03
asset_3,36,275735.2
asset_3,37,277318.43
asset_3,38,275975.63
asset_3,39,272779.99
asset_3,40,270658.36
asset_3,41,267526.91
asset_3,42,269248.2
asset_3,43,263022.43
asset_3,44,262145.83
asset_3,45,263325.17
asset_3,46,267333.01
asset_3,47,267523.62
asset_3,48,270202.29
asset_3,49,269124.17
asset_3,50,267110.04
asset_3,51,265297.98
asset_3,52,269339.36
asset_3,53,272006.41
asset_3,54,273321.29
asset_3,55,282412.69
asset_3,56,282310.06
asset_3,57,303811.78
asset_3,58,304734.12
asset_3,59,304045.77
